"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Tissierella",174,0,0,0,134,116,283,0,384,0,214,118,832,733,0,0,2647,1420,3760,156709,137819,734,3518,114254,8226,15665,7739,228242,1419155,1205870,26926477,77661677,63854836,4543940,481475,54854082,42422926,314591842,74096216,85051897,38745713,365953715
"Romboutsia",0,0,0,407,0,0,0,38607,0,0,285,612,0,0,0,5978,0,0,0,568680163,0,0,16353,0,0,206037,0,5865,0,0,25197,0,6506,0,3155,5643,35619,147295,8330,16519,249027,128477
"Morganella",946,0,0,0,384,0,0,0,0,918,11132,9457,15345,0,0,0,64240,13084,0,75699,16619,7789,4524453,21111007,37588292,2730,15291,194710,80884223,32237514,4255890,31054151,43985078,87454420,354625,19550122,23231823,32494604,45345049,36886659,31932085,35518565
"Proteus",371,0,0,735,245,0,503,516,0,12285,33581,4833,958259,2551,66856,562,63794,4318,7010,208091,7488,19028560,12940704,11510151,3515434,34091028,4007439,22775584,82143850,4466055,4138691,95568263,8191988,30035507,25473071,15363316,33523508,27313394,19479518,14325029,11815871,29538658
"Clostridium",71,137,0,233,514,236,0,12157,3087,0,58,216,0,0,50986,1378,289,5129,611,208001,37884745,497,4734,134,0,6168882,16878821,36850,74721,14671025,7081425,121876285,46177,610068,27846,12952,718900,75383513,76496968,4871619,9033346,86039976
"Vagococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,0,0,0,391,0,0,0,0,0,0,0,1568084,24714,345643,75914,6211840,6263,0,153764,2794822,2591098,21329,0,3229275
"Enterococcus",0,0,2741,866,385,458,0,983,4895,0,563,1441,1030,0,15716,1546,0,0,0,91970,0,789,9000,14782,395284,2686775,36395,24305,130541,17613,334389,783908,113857,152798,456695,133200,584744,1865720,1059331,763216,1270997,2325578
"Corynebacterium",159,1002,0,291,184,106,4546,2152,17417,1548,392,1887,0,0,0,3173,0,1377,3213,286381,203006,1958,218636,95030,27482,52195,16815,201756,166686,558725,7898,1371949,191789,1269002,136565,66699,49608,1767150,744902,419617,726575,1762266
"Psychrobacter",0,0,0,175,0,0,0,240,282,1008,196,0,2013,0,0,3250,1481,997,4140,0,391749,2356,91561,619140,0,2156,0,53869,726687,223183,19762,160994,536646,774059,45224,110377,61467,1007497,195721,45372,943466,1128840
"Paenalcaligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,978,11403,228665,0,0,0,0,55755,592175,104827,251955,38035,388513,2240,566202,27786,167836,1684656,10711,331801,84870
"Bacteroides",316,611,0,0,292,0,0,142,0,0,0,214,0,193,0,0,0,303,0,0,0,0,0,0,0,3287145,6825,0,0,0,4686,0,0,1413,1007,2645,1652,12221,22393,0,1815,7583
"Muribaculaceae_genus",0,0,0,0,0,0,0,7731,1018,0,73,841,0,0,0,2437,0,0,0,0,0,0,0,0,0,2412851,4501,0,0,0,5418,0,0,17269,3502,27764,0,10276,0,10503,12410,7055
"Lactobacillus",0,0,0,285,150,260,0,17934,0,126,0,264,0,0,0,2760,0,1060,0,0,0,0,0,0,0,297592,0,8101,0,60262,99873,0,13750,15901,21581,30487,51007,592791,17235,72926,149607,511751
"Litchfieldia",0,175,0,511,431,327,0,14844,370,0,0,237,0,0,0,928,0,0,0,0,0,0,0,0,0,201768,12954,0,5923,166739,22681,8122,0,3672,3402,0,24508,261004,18550,59182,39564,213197
"Pseudaminobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,0,0,0,0,0,0,0,3574,0,0,112597,11882,0,0,8104,4741,0,0,96978,8998,0,0,169893,293161,0,57191,107358
"Pediococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82058,0,0,0,17258,0,0,28450,184020,0,0,0,158469
"Ligilactobacillus",0,338,0,409,755,700,0,3724,431,1019,287,95,0,0,0,0,0,872,0,0,0,0,0,0,0,71912,13884,7757,0,99427,40080,0,0,0,6746,13760,0,16237,20562,11947,90199,62595
"Siminovitchia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37104,0,0,0,25182,0,0,0,54506,0,17876,33863,64214
"Prevotellaceae_UCG-001",0,0,0,0,0,0,0,1284,66,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,200776,0,0,0,0,1805,0,0,0,999,5035,0,5717,0,0,3234,8928
"Turicibacter",0,0,0,0,246,0,0,9077,128,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,1741,32872,1832,7096,0,1200,3962,0,0,0,462,0,19844,26027,7698,1527,11824,16458
"Lederbergia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,0,0,0,0,0,0,0,10296,0,32335,0,42264,0,10713,40312,0
"Herminiimonas",2090,11953,0,4453,5772,9186,2420,7967,2148,6088,999,1767,3177,7060,3355,2620,0,5516,1838,0,0,4278,5702,0,6245,0,0,0,0,0,5310,0,0,0,0,0,0,0,0,0,0,0
"67_14_genus",348,2694,3059,2036,0,2326,0,1828,8593,0,0,1649,0,3464,1620,616,0,1337,2340,0,0,0,0,0,0,7520,0,0,0,0,8447,0,0,0,5550,0,0,0,0,0,0,0
"Azospirillales_genus",0,515,0,311,0,284,0,479,376,0,0,360,1203,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3912,0,0,0,2055,0,0,0,0,0,0,0
"Aquicella",0,674,0,763,0,116,0,392,307,0,0,0,0,1199,0,0,0,1003,0,0,0,0,0,0,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Litorilinea",0,0,0,254,0,0,0,0,307,0,0,0,0,932,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acaulium",0,0,87,0,0,0,191,0,0,0,0,177,303,67,58,0,258,251,0,72433,547,1099,0,2303,12130,3133,54967,62171,331296,87793,8749,38831,5083,502615,47614,75194,1636,2602155,991439,80210,105947,2703607
"Scopulariopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,0,489,1092,1316,480,313,145,705,49821,14710,8929,1868630,2160,268463,5257,150853,213,254009,53549,271130,62703,262576
"Myriodontium",0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,0,434,564,1978,0,0,356630,0,5385,0,155,0,2705,0,37782,65405,2705
"Cephalotrichum",0,84,0,0,0,0,0,0,0,0,0,0,1815,0,58,0,0,84,0,0,0,244,51436,2852,0,41045,26181,4934,16187,11424,121,7146,127,14308,4820,2016,497,33067,313,10168,5000,39529
"Enterocarpus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,480,0,2748,1692,7554,1878,121,0,318,113077,438,2635,142,29459,43841,1004,6351,27054
"Chrysosporium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314,0,1979,0,0,1079,0,462,292,155,284,5261,3914,126,811,3608
"Tuber",0,0,0,0,0,0,0,0,3223,85,0,0,0,266,0,0,0,0,0,274,0,244,0,220,0,0,0,0,0,156,0,1213,0,154,0,1705,1636,451,783,251,0,601
"Aphanoascus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,146,0,0,150,9238,0,0,301
"Volutella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8090,0,308,0,155,71,0,0,0,0,0
