"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Pseudomonas",2821,2863,0,2215,7877,8470,1598,5341,4286,5340,1677,3290,3335635,14507,365777,11851,29489,27675,8196623,40063764,16515149,363926,653700,349539,7731,1018013,49837,1256298,152768,27751,0,19106,11781,157647,179113,85617,3628,160219,45071,42840,218514,196905
"Sporosarcina",0,0,0,608,321,0,670,719,808,0,0,169,0,295,0,0,3676,720,1519,8105899,9537569,4651,24174,340611,117980,3050752,93496,298126,1781274,1260411,63065,392301,258932,1254376,199115,2991414,20793,2248166,657021,222708,588517,2543605
"Stenotrophomonas",3699,2727,0,5189,44693,13187,0,3721,2143,8408,3030,329,18679,4242,3038,1463,0,3268,1768600,4382556,11112297,53543,207989,166495,30326,646936,74748,716071,0,147227,0,0,40249,632488,209293,0,9854,438895,191565,0,690473,444688
"Mammaliicoccus",0,0,0,637,0,1117,4679,2781,9931,1130,1371,3639,12191,0,19999,3474,1456,3001,297277,1182003,1551647,18529,332678,483136,31992,654039,212895,560967,1219718,541034,195248,964031,192162,238767,123675,563383,11047,3799875,402130,213782,177905,4295083
"Achromobacter",707,781,3350,4057,10583,4381,517,2044,534,3333,1407,0,4561,0,1878,714,0,2519,211796,2014724,3056649,4890,92815,8775,20817,73834,0,6999196,85705,182531,0,0,27181,300825,456711,150635,12782,118237,431152,26560,3841375,115361
"Jeotgalicoccus",146,0,0,0,112,971,3775,1145,11405,1836,834,2705,2590,1669,1063,2059,2858,837,48011,890491,796081,4798,451152,756237,20559,496334,49162,573269,833947,417994,45499,448181,109026,804368,115016,223269,69312,2575694,500586,323687,440050,3002748
"Lysinibacillus",0,0,0,0,0,0,0,421,1600,0,0,335,5048,0,7676,0,783,2946,28040,5710383,5822819,3546,125288,673544,6489,15294,4004,194696,257459,120420,0,0,0,23857,19964,15959,0,0,0,0,19111,0
"Psychrobacillus",0,0,0,0,0,0,1126,683,2190,1530,258,1941,7846,2758,5116,1208,545,739,1376924,1848897,739519,11402,122530,50380,4345,1095441,134588,17711,69231,48317,4778,37970,0,34542,21050,0,0,14955,0,12464,6302,24169
"Microbacterium",0,1047,0,395,0,0,0,677,1431,0,0,0,7502,0,831,479,927,0,30655,639640,559643,1009,38467,7843,3734,100976,31178,133088,0,5618,1114,0,38185,76844,16195,3688,25207,140644,31797,3360,73519,65572
"Rhodococcus",0,0,0,119,567,109,0,552,144,318,335,332,1918,0,1739,579,0,1648,11142,440856,203814,2583,102516,42845,2086,31038,24651,18929,14101,91399,7082,148884,23206,292741,32022,34502,15494,31754,88354,30173,124667,33024
"Paenibacillus",0,0,0,200,307,208,0,175,236,0,0,158,771,0,177,206,0,160,13249,478540,433363,327,30056,1571,0,88279,12544,40449,0,6816,0,20630,0,9978,1590,43971,0,0,0,0,979,0
"Ensifer",0,0,0,0,0,0,0,0,0,447,0,0,0,0,993,407,0,0,0,21510,405705,0,20419,0,0,144974,14704,56670,0,67143,0,25155,0,84692,5881,0,8826,40080,0,7540,14450,102879
