Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Sporosarcina,0,1,0,1,1,1,0,0,0,0,0,0,12,2,3,0,0,1,3,33,82,67,15,35,421,715,406,198,731,334,24,493,396,918,325,138,598,68,425,429,291,228
Pseudomonas,2,1,0,2,4,2,3,0,1,0,5,2,104,77,36,62,51,15,539,489,213,93,475,491,67,1,112,169,1,19,1,3,0,0,81,3,5,3,12,5,7,1
Psychrobacter,0,3,0,0,0,0,0,1,0,2,1,0,31,0,1,87,2,1,0,0,9,2,202,219,17,0,16,26,48,51,688,5,88,0,0,2,3,262,10,15,13,23
Proteus,0,5,0,2,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,2,2,8,168,0,3,54,11,39,48,171,50,115,268,81,45,71,13,35,37,303
Paenalcaligenes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,2,0,19,9,296,90,306,0,2,196,0,287,6,23,25,239
Stenotrophomonas,5,0,0,1,2,0,7,0,0,0,0,0,19,222,8,11,25,3,50,82,229,0,23,112,19,0,40,54,6,69,1,2,0,0,7,1,0,1,8,8,18,1
Achromobacter,0,3,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,127,90,0,14,6,31,6,17,9,28,47,2,3,0,4,86,276,1,38,23,6,62,17
Pyrinomonadaceae_genus,39,37,54,50,52,35,51,53,38,46,60,50,41,26,25,31,41,40,14,1,6,23,6,5,0,0,2,1,0,2,0,1,0,1,2,0,0,1,4,2,0,0
Vicinamibacteraceae_genus,49,45,61,53,55,47,42,52,45,45,47,49,36,18,39,43,31,29,8,3,7,22,0,1,0,1,3,3,0,2,0,0,0,0,0,0,1,0,3,0,0,0
Psychrobacillus,3,3,4,1,2,1,20,21,9,26,21,7,31,36,22,10,8,17,43,31,42,19,66,48,26,47,32,16,6,11,0,5,0,2,1,4,0,0,5,0,0,0
Jeotgalicoccus,2,6,0,1,4,0,0,18,0,3,3,4,5,0,0,2,5,6,3,5,7,8,8,22,11,37,3,24,32,42,4,28,10,3,18,50,53,40,22,28,23,35
Corynebacterium,1,0,0,0,2,0,0,19,1,4,1,0,4,0,0,2,13,3,3,10,8,0,4,13,11,5,11,9,21,23,33,27,39,0,21,61,28,35,5,23,121,9
Vicinamibacterales_genus,31,31,39,27,25,30,39,43,27,39,37,35,10,26,18,18,18,19,12,1,6,19,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,4,0,1,0
WD2101_soil_group_genus,20,24,29,29,26,41,26,29,43,30,20,46,6,16,35,22,11,41,11,0,3,9,4,4,0,0,1,3,0,1,0,0,0,0,1,1,1,1,3,0,0,0
Mammaliicoccus,0,0,0,0,2,0,2,2,0,1,1,2,2,6,1,4,5,7,5,14,23,35,9,16,14,27,20,29,11,30,9,13,0,2,5,10,8,17,9,6,3,7
Gemmatimonadaceae_genus,17,17,17,13,14,18,16,27,15,24,23,16,14,17,18,13,12,18,0,2,4,10,2,0,0,0,1,1,1,3,1,0,0,1,0,1,1,0,1,0,0,0
Microvirga,12,10,20,31,14,19,18,14,21,18,12,21,15,8,17,15,5,29,10,0,1,5,0,0,0,0,1,8,0,2,1,2,0,1,1,2,0,2,1,0,2,0
Rhodococcus,0,1,2,1,2,2,0,1,3,1,2,0,3,12,1,2,2,5,1,3,2,1,5,12,4,2,12,9,0,19,3,17,3,4,31,40,12,29,30,9,20,22
Morganella,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,62,44,12,15,8,0,5,18,0,73,0,19,4,56
Escherichia-Shigella,5,0,0,29,207,6,0,6,0,3,7,1,0,6,8,0,1,0,1,4,3,1,5,0,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0
Sphingobacterium,0,3,0,0,1,0,3,0,0,0,1,0,15,1,0,27,10,10,0,95,6,0,1,0,1,0,3,0,0,0,0,36,0,0,1,0,1,1,14,47,22,0
Chryseobacterium,0,0,0,0,1,1,4,0,1,1,4,0,17,6,7,15,195,5,3,0,23,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solibacillus,0,4,0,0,0,0,4,6,9,10,4,1,2,4,3,2,4,0,1,7,15,75,19,3,33,6,35,10,4,13,0,8,0,0,1,0,2,0,3,0,0,0
Subgroup_7_genus,12,6,20,10,9,11,33,19,27,20,18,24,7,6,11,10,5,9,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferruginibacter,9,15,13,9,7,21,14,5,20,6,14,35,7,6,24,18,6,7,6,0,1,9,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bacteriap25_genus,13,17,14,13,17,11,20,25,15,18,15,6,13,8,7,11,10,9,3,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0
Advenella,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,2,0,0,0,96,1,0,3,0,0,0,6,0,0,2,0,4,0,78,16,27,10
UTCFX1,22,10,12,14,14,10,11,20,3,21,16,9,11,5,8,10,9,10,6,1,4,12,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0
67_14_genus,11,10,17,19,9,32,8,12,18,12,8,18,4,7,12,8,5,6,3,0,3,9,0,2,0,1,1,2,0,0,0,1,0,1,0,0,1,2,3,0,1,0
Siminovitchia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,4,4,8,0,4,15,5,5,3,36,3,46,82,16,1
Lysinibacillus,1,5,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,11,29,25,5,11,37,6,1,12,25,13,40,0,3,1,1,5,1,0,1,0,0,0,0
Glutamicibacter,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,8,0,166,0,8,3,0,0,0,16,5,5,0
Blastococcus,10,11,12,13,7,13,11,11,10,8,11,10,8,8,4,9,8,13,7,1,3,9,0,0,0,2,3,1,1,7,0,0,0,0,2,2,0,0,0,2,1,0
Domibacillus,1,5,0,0,1,0,0,1,0,0,2,1,1,0,1,0,1,1,0,9,22,16,0,1,12,2,19,42,2,23,0,4,0,0,1,1,0,5,39,0,5,0
Massilia,6,2,1,2,5,3,10,3,6,9,5,4,34,25,11,11,38,14,4,1,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
